"Artist","Song"
"Purple Disco Machine feat. Moss Kena & The Knocks","Fireworks"
"Purple Disco Machine & ÁSDÍS","Beat of Your Heart"
"FISHER","Losing It"
"Martin Solveig feat. Dragonette","Hello"
"Martin Solveig & GTA","Intoxicated"
"CamelPhat & Elderbrook","Cola"
"Sigala, Ella Eyre & Meghan Trainor feat. French Montana","Just Got Paid"
"Sigala","Easy Love"
"Sigala feat. John Newman & Nile Rodgers","Give Me Your Love"
"Jess Glynne","Hold My Hand"
"Years & Years","King"
"Jessie Ware","Free Yourself"
"Disclosure feat. AlunaGeorge","White Noise"
"Robin Schulz feat. Jasmine Thompson","Sun Goes Down"
"Robin S","Show Me Love"
"LF SYSTEM","Afraid to Feel"
"Paul Kalkbrenner","Sky and Sand"
"John Summit feat. Hayla","Where You Are"
"Chris Lake & Aluna","Beggin'"
"Dom Dolla","Saving Up"
"Sonny Fodera & Clementine Douglas","Tell Me"
"Jax Jones & Zoe Wees","Never Be Lonely"
"David Penn","Nobody"
"Sandy Rivera & Rae","Hide U"
"The Shapeshifters","Lola's Theme"
"Reflekt feat. Delline Bass","Need to Feel Loved"
"Afro Medusa","Pasilda"
"Bakermat","Vandaag"
"Supermode","Tell Me Why"
"Rui Da Silva feat. Cassandra","Touch Me"
"Moloko","Sing It Back"
"Moloko","The Time Is Now"
"Armand Van Helden feat. Duane Harden","You Don't Know Me"
"Armand Van Helden","My My My"
"Armand Van Helden","I Want Your Soul"
"Fedde Le Grand","Put Your Hands Up for Detroit"
"Roger Sanchez","Another Chance"
"Roger Sanchez","Lost"
"Room 5 feat. Oliver Cheatham","Make Luv"
"Junior Jack","E Samba"
"Tim Deluxe feat. Sam Obernik","It Just Won't Do"
"Jakatta feat. Seal","My Vision"
"Jakatta","American Dream"
"Da Hool","Meet Her at the Love Parade"
"ATB","9 PM (Till I Come)"
"Energy 52","Café Del Mar"
"Faithless","God Is a DJ"
"Faithless","We Come 1"
"Delerium feat. Sarah McLachlan","Silence"
"Binary Finary","1998"
"Nalin & Kane","Beachball"
"iiO","Rapture"
"Ian Van Dahl","Castles in the Sky"
"Sash!","Encore Une Fois"
"Sash!","Ecuador"
"CeCe Peniston","Finally"
"Rozalla","Everybody's Free (To Feel Good)"
"Degrees of Motion","Do You Want It Right Now"
"Livin' Joy","Dreamer"
"Strike","U Sure Do"
"De'Lacy","Hideaway"
"Inner City","Good Life"
"M People","One Night in Heaven"
"M People","Moving On Up"
"The Source feat. Candi Staton","You Got the Love"
"Crystal Waters","100% Pure Love"
"Sonique","It Feels So Good"
"Sonique","Sky"
"Paul Johnson","Get Get Down"
"K-Klass","Rhythm Is a Mystery"
"Mory Kanté","Yéké Yéké"
"Technotronic","Pump Up the Jam"
"Snap!","The Power"
"Candi Staton","Young Hearts Run Free"
"George Morel","Let's Groove"
"Cerrone","Supernature"
"Donna Summer","I Feel Love"
"Chicane feat. Máire Brennan","Saltwater"
"Everything but the Girl","Missing"
"Sandy B","Make the World Go Round"
"Kristine W","Feel What You Want"
"Shakedown","At Night"
"Michael Gray","The Weekend"
"KDA feat. Tinie Tempah & Katy B","Turn the Music Louder (Rumble)"
"Swedish House Mafia vs Knife Party","Antidote"
"Eric Prydz","Pjanoo"
"CamelPhat & Cristoph feat. Jem Cooke","Breathe"
"Simon Field","Shake The Tree"
"MK feat. Alana","Always"
"MK","17"
"Alcazar","Crying at the Discoteque"
"Corona","Baby Baby"
"DB Boulevard","Point of View"
"ATFC presents OnePhatDeeva","In and Out of My Life"
"Morjac feat. Raz Conway","Stars"
"Mousse T. vs Hot 'N' Juicy","Horny '98"
"Everything but the Girl","Wrong"
"Olive","You're Not Alone"
"Fatboy Slim","Right Here, Right Now"
"The Bucketheads","The Bomb! (These Sounds Fall into My Mind)"
